NAME	TITLE	SCORE	
LINC01693	na	5.0	
SLC6A1-AS1	na	5.0	
FLT4	na	5.0	
AL357518.1	na	5.0	
AL596442.2	na	5.0	
SLC16A12	na	5.0	
KL	na	5.0	
RNASE10	na	5.0	
AF111167.1	na	5.0	
AC023905.1	na	5.0	
AC104260.1	na	5.0	
LINC01228	na	5.0	
AC008770.3	na	5.0	
SLC25A34-AS1	na	5.0	
MDS2	na	5.0	
CD164L2	na	5.0	
GJA4	na	5.0	
C1orf210	na	5.0	
CYP4B1	na	5.0	
LDLRAD1	na	5.0	
ZRANB2-AS1	na	5.0	
ADGRL4	na	5.0	
BRDT	na	5.0	
LINC01397	na	5.0	
UBL4B	na	5.0	
TDRD10	na	5.0	
AL590666.5	na	5.0	
PEAR1	na	5.0	
SERPINC1	na	5.0	
LINC00303	na	5.0	
AL356275.1	na	5.0	
LINC01139	na	5.0	
ALLC	na	5.0	
AC008073.1	na	5.0	
LINC01381	na	5.0	
CIB4	na	5.0	
AC093702.1	na	5.0	
LINC02583	na	5.0	
LHCGR	na	5.0	
AC012370.2	na	5.0	
AC092653.1	na	5.0	
IL18RAP	na	5.0	
CD8B2	na	5.0	
AC110769.1	na	5.0	
AC010976.2	na	5.0	
COL3A1	na	5.0	
AC064853.1	na	5.0	
NMUR1	na	5.0	
KCNJ13	na	5.0	
AC112721.2	na	5.0	
AC104667.1	na	5.0	
AC090004.2	na	5.0	
AC116096.1	na	5.0	
AC025614.2	na	5.0	
LINC01985	na	5.0	
VIPR1-AS1	na	5.0	
TDGF1	na	5.0	
SPINK8	na	5.0	
AC137936.1	na	5.0	
FAM3D	na	5.0	
AC108690.1	na	5.0	
HTR1F	na	5.0	
AC020634.2	na	5.0	
LINC01391	na	5.0	
RASA2-IT1	na	5.0	
AC026353.1	na	5.0	
AC090425.2	na	5.0	
AC108734.4	na	5.0	
AC147067.2	na	5.0	
AL590235.1	na	5.0	
AC097382.1	na	5.0	
AC005699.1	na	5.0	
AC080132.1	na	5.0	
ADH1B	na	5.0	
EMCN	na	5.0	
ENPEP	na	5.0	
AC097528.1	na	5.0	
AC107074.1	na	5.0	
AC093817.2	na	5.0	
AC096741.1	na	5.0	
LINC01612	na	5.0	
AC097518.1	na	5.0	
LINC00290	na	5.0	
AC116351.2	na	5.0	
AC114291.1	na	5.0	
SEMA5A-AS1	na	5.0	
C7	na	5.0	
AC092353.2	na	5.0	
AC108174.1	na	5.0	
AC113167.1	na	5.0	
AC020900.1	na	5.0	
AC104126.1	na	5.0	
FAM170A	na	5.0	
PRR16	na	5.0	
AC114284.1	na	5.0	
AC004039.1	na	5.0	
SPINK7	na	5.0	
CARMN	na	5.0	
AC131025.2	na	5.0	
FAT2	na	5.0	
LINC02227	na	5.0	
AC134043.2	na	5.0	
ADRA1B	na	5.0	
AC008708.2	na	5.0	
AC109479.1	na	5.0	
BTNL8	na	5.0	
BTNL3	na	5.0	
FOXQ1	na	5.0	
C6orf201	na	5.0	
AL136309.3	na	5.0	
LY6G6C	na	5.0	
CLIC5	na	5.0	
ADGRF5	na	5.0	
AL357507.1	na	5.0	
LINC01611	na	5.0	
TBX18	na	5.0	
AL139090.1	na	5.0	
FHL5	na	5.0	
AL357141.1	na	5.0	
CTAGE9	na	5.0	
AL024508.1	na	5.0	
AL450344.2	na	5.0	
FNDC1	na	5.0	
AC006041.2	na	5.0	
TRGC1	na	5.0	
TRGV9	na	5.0	
AC005009.1	na	5.0	
TEX47	na	5.0	
NFE4	na	5.0	
TRBV7-3	na	5.0	
CTAGE4	na	5.0	
IQCA1L	na	5.0	
AC137579.1	na	5.0	
AC087362.1	na	5.0	
SOX17	na	5.0	
TCF24	na	5.0	
KCNS2	na	5.0	
COLEC10	na	5.0	
AC009908.1	na	5.0	
AC103718.1	na	5.0	
AC100803.3	na	5.0	
LINC01388	na	5.0	
PRSS3	na	5.0	
SPAAR	na	5.0	
OR1L8	na	5.0	
GPR21	na	5.0	
AL359632.1	na	5.0	
AL391056.1	na	5.0	
BARHL1	na	5.0	
ABO	na	5.0	
LCN1	na	5.0	
AL590226.1	na	5.0	
TMEM210	na	5.0	
LINC00705	na	5.0	
TUBAL3	na	5.0	
LINC02657	na	5.0	
ITIH5	na	5.0	
ITGA8	na	5.0	
GJD4	na	5.0	
LINC02632	na	5.0	
AL596223.1	na	5.0	
NODAL	na	5.0	
DUSP13	na	5.0	
ZNF503-AS1	na	5.0	
C10orf99	na	5.0	
CYP26C1	na	5.0	
AL731566.3	na	5.0	
AL360181.4	na	5.0	
OR51E1	na	5.0	
OR56A4	na	5.0	
OVCH2	na	5.0	
AC090124.1	na	5.0	
AC024475.1	na	5.0	
MS4A8	na	5.0	
AP000777.2	na	5.0	
PTGDR2	na	5.0	
AP000438.1	na	5.0	
MIR194-2HG	na	5.0	
AC004923.4	na	5.0	
AP007216.2	na	5.0	
AP001372.3	na	5.0	
OR2AT4	na	5.0	
AP000654.1	na	5.0	
PGR	na	5.0	
PGR-AS1	na	5.0	
ANGPTL5	na	5.0	
AP000813.1	na	5.0	
AC007406.3	na	5.0	
AC005414.1	na	5.0	
ANO2	na	5.0	
VWF	na	5.0	
ZNF705A	na	5.0	
PZP	na	5.0	
TAS2R20	na	5.0	
AC126468.1	na	5.0	
IAPP	na	5.0	
AC008083.2	na	5.0	
AC121338.2	na	5.0	
AC020612.3	na	5.0	
AC008121.3	na	5.0	
AC079313.2	na	5.0	
AC090023.1	na	5.0	
ALX1	na	5.0	
AC007622.2	na	5.0	
HCAR1	na	5.0	
LINC02418	na	5.0	
AC073862.1	na	5.0	
LINC01072	na	5.0	
AL356495.1	na	5.0	
TNFSF11	na	5.0	
AL589745.1	na	5.0	
TUSC8	na	5.0	
GPC5-AS2	na	5.0	
AL163534.1	na	5.0	
C13orf46	na	5.0	
LINC00517	na	5.0	
SYNDIG1L	na	5.0	
AL157871.5	na	5.0	
LINC00677	na	5.0	
AL583722.2	na	5.0	
DLL4	na	5.0	
C2CD4B	na	5.0	
AC027088.5	na	5.0	
AC026992.2	na	5.0	
AC048383.1	na	5.0	
LINC02204	na	5.0	
AC009269.2	na	5.0	
AC091100.1	na	5.0	
AC016705.1	na	5.0	
AC092132.1	na	5.0	
AC138904.3	na	5.0	
AC093512.2	na	5.0	
AC007493.1	na	5.0	
AC092134.1	na	5.0	
AC092134.3	na	5.0	
AC009145.1	na	5.0	
ADAD2	na	5.0	
FOXC2	na	5.0	
LINC02188	na	5.0	
AC134312.1	na	5.0	
LINC00304	na	5.0	
DPEP1	na	5.0	
AC087392.1	na	5.0	
LINC01996	na	5.0	
BCL6B	na	5.0	
AC005730.3	na	5.0	
AC061975.8	na	5.0	
AC010761.3	na	5.0	
AC138207.1	na	5.0	
AC060766.6	na	5.0	
CCL14	na	5.0	
AC006441.1	na	5.0	
KRT34	na	5.0	
AC099811.3	na	5.0	
HIGD1B	na	5.0	
PHOSPHO1	na	5.0	
AC006487.2	na	5.0	
TMEM92	na	5.0	
AC007431.1	na	5.0	
AC015813.8	na	5.0	
OR4D1	na	5.0	
PRR29-AS1	na	5.0	
AC007780.1	na	5.0	
HID1-AS1	na	5.0	
AP000915.1	na	5.0	
AP006219.3	na	5.0	
CCDC68	na	5.0	
AC022035.1	na	5.0	
CLEC4M	na	5.0	
AC130469.1	na	5.0	
AC020908.3	na	5.0	
AC020907.3	na	5.0	
PCAT19	na	5.0	
AC006116.10	na	5.0	
SLC52A3	na	5.0	
GNRH2	na	5.0	
ISM1-AS1	na	5.0	
LINC01620	na	5.0	
AP000459.2	na	5.0	
LINC01695	na	5.0	
AF015720.1	na	5.0	
ERG	na	5.0	
AP001037.1	na	5.0	
UMODL1-AS1	na	5.0	
AP001627.1	na	5.0	
AP001053.1	na	5.0	
AP001476.1	na	5.0	
LINC00895	na	5.0	
AC000067.1	na	5.0	
SERPIND1	na	5.0	
AL022323.1	na	5.0	
AL021877.2	na	5.0	
LINC01644	na	5.0	
AL078622.1	na	5.0	
Z97192.2	na	5.0	
Z97192.4	na	5.0	
CR559946.2	na	5.0	
VCX3A	na	5.0	
MID1IP1-AS1	na	5.0	
LINC01186	na	5.0	
LINC01496	na	5.0	
NCBP2L	na	5.0	
AL513487.1	na	5.0	
CT45A10	na	5.0	
AC010737.1	na	5.0	
AC145212.1	na	5.0	
L2-1-Crp	na	5.0	
Eulor2B	na	5.0	
MLT1N2-int	na	5.0	
UCON97	na	5.0	
UCON62	na	5.0	
AC007736.1	na	5.0	
ANXA10	na	5.0	
AL356752.1	na	5.0	
AC006273.1	na	5.0	
VPREB1	na	5.0	
CALML6	na	5.0	
LINC01672	na	5.0	
SRARP	na	5.0	
AL021154.1	na	5.0	
FCN3	na	5.0	
TINAGL1	na	5.0	
GUCA2A	na	5.0	
AL445685.1	na	5.0	
SLC1A7	na	5.0	
SSBP3-AS1	na	5.0	
AC093423.2	na	5.0	
GNAT2	na	5.0	
CASQ2	na	5.0	
IGKV1OR1-1	na	5.0	
GJA5	na	5.0	
AL513523.3	na	5.0	
AC234582.2	na	5.0	
LINC01142	na	5.0	
AL606468.1	na	5.0	
AL929091.1	na	5.0	
LINC01641	na	5.0	
AC010907.1	na	5.0	
AC009975.2	na	5.0	
AC007743.1	na	5.0	
AC016747.3	na	5.0	
AC110614.1	na	5.0	
AC017002.6	na	5.0	
AC017074.1	na	5.0	
AC073257.2	na	5.0	
AC079793.1	na	5.0	
AC019197.1	na	5.0	
AC092614.1	na	5.0	
AC104841.1	na	5.0	
AC037193.1	na	5.0	
TMEM40	na	5.0	
AC097639.1	na	5.0	
DCLK3	na	5.0	
CCK	na	5.0	
AC018358.1	na	5.0	
SEMA3F	na	5.0	
SEMA3G	na	5.0	
AC110716.2	na	5.0	
TM4SF18	na	5.0	
AC114757.1	na	5.0	
SULT1E1	na	5.0	
LINC00989	na	5.0	
AC097459.1	na	5.0	
LINC02465	na	5.0	
LINC02172	na	5.0	
AC108053.1	na	5.0	
LINC02515	na	5.0	
AC025475.2	na	5.0	
EGFLAM-AS4	na	5.0	
LINC01033	na	5.0	
ESM1	na	5.0	
AC010280.3	na	5.0	
AC010261.1	na	5.0	
LINC02208	na	5.0	
ECSCR	na	5.0	
CXXC5-AS1	na	5.0	
PCDHA6	na	5.0	
CDX1	na	5.0	
AC025437.3	na	5.0	
AC091979.2	na	5.0	
AL392183.1	na	5.0	
AL034376.1	na	5.0	
AL031058.1	na	5.0	
DSP	na	5.0	
OR14J1	na	5.0	
AL356277.2	na	5.0	
HTR1B	na	5.0	
AL356859.1	na	5.0	
AL590006.1	na	5.0	
ZC2HC1B	na	5.0	
AL445123.2	na	5.0	
AL596442.4	na	5.0	
AC091729.2	na	5.0	
AC074389.2	na	5.0	
AC005281.1	na	5.0	
CYP3A4	na	5.0	
SLC26A5	na	5.0	
AC005050.1	na	5.0	
SLC26A3	na	5.0	
AC073130.2	na	5.0	
AC002057.2	na	5.0	
AC000099.1	na	5.0	
TRBV6-8	na	5.0	
OR2A1	na	5.0	
LINC01287	na	5.0	
AC078942.1	na	5.0	
TRIM55	na	5.0	
LINC02849	na	5.0	
AC104211.2	na	5.0	
AC087354.1	na	5.0	
GPR20	na	5.0	
PGM5P3-AS1	na	5.0	
AL449043.1	na	5.0	
AL135841.1	na	5.0	
DBH	na	5.0	
ENTPD8	na	5.0	
LINC02669	na	5.0	
MANCR	na	5.0	
AL732437.3	na	5.0	
ITIH2	na	5.0	
AL355870.1	na	5.0	
AL158834.2	na	5.0	
LINC00840	na	5.0	
AC016396.2	na	5.0	
MMRN2	na	5.0	
AL358613.1	na	5.0	
AL139124.1	na	5.0	
GRK5-IT1	na	5.0	
TCERG1L-AS1	na	5.0	
SCT	na	5.0	
AP003555.1	na	5.0	
AP001189.5	na	5.0	
AP001189.3	na	5.0	
AP001189.1	na	5.0	
LRRC32	na	5.0	
TRPC6	na	5.0	
AP001781.1	na	5.0	
VSIG2	na	5.0	
ROBO4	na	5.0	
AP001122.1	na	5.0	
AC026369.2	na	5.0	
AC007406.2	na	5.0	
AC006511.4	na	5.0	
AC134349.1	na	5.0	
RERGL	na	5.0	
AVPR1A	na	5.0	
AC128707.1	na	5.0	
LINC02458	na	5.0	
AC026765.4	na	5.0	
AL359538.3	na	5.0	
AL118556.1	na	5.0	
AL132989.2	na	5.0	
AL355102.1	na	5.0	
EHD4-AS1	na	5.0	
AC025271.4	na	5.0	
AC011939.3	na	5.0	
AC068870.1	na	5.0	
AC012291.2	na	5.0	
AC087286.1	na	5.0	
AC021422.1	na	5.0	
LINC01581	na	5.0	
LINC01197	na	5.0	
AC027013.1	na	5.0	
PGPEP1L	na	5.0	
AC084855.1	na	5.0	
TMEM204	na	5.0	
AC093515.1	na	5.0	
AC130466.1	na	5.0	
NPIPB8	na	5.0	
AC018553.1	na	5.0	
AC027279.2	na	5.0	
AC009154.1	na	5.0	
AC129507.4	na	5.0	
AC090282.1	na	5.0	
SMTNL2	na	5.0	
ARHGEF15	na	5.0	
AC007952.6	na	5.0	
UNC45B	na	5.0	
AC244100.2	na	5.0	
CCL15	na	5.0	
TNS4	na	5.0	
KRTAP4-11	na	5.0	
AC015909.1	na	5.0	
AC106858.1	na	5.0	
AC025048.7	na	5.0	
ABCA9-AS1	na	5.0	
AC002546.1	na	5.0	
ST6GALNAC1	na	5.0	
AC129510.2	na	5.0	
AC090246.1	na	5.0	
FARSA-AS1	na	5.0	
B3GNT3	na	5.0	
ERICH4	na	5.0	
GPR4	na	5.0	
SULT2A1	na	5.0	
AC008753.3	na	5.0	
HSPA12B	na	5.0	
AL133396.2	na	5.0	
AL049646.1	na	5.0	
AL121772.1	na	5.0	
DEFB123	na	5.0	
COX4I2	na	5.0	
AL359555.4	na	5.0	
AL139351.1	na	5.0	
AL450469.1	na	5.0	
TRPM2-AS	na	5.0	
AL133493.1	na	5.0	
AC000082.1	na	5.0	
AC004832.6	na	5.0	
BMX	na	5.0	
AC121342.1	na	5.0	
AL121823.1	na	5.0	
MAGEA12	na	5.0	
UCON20	na	5.0	
UCON47	na	5.0	
CST4	na	5.0	
FAM169B	na	5.0	
AL953897.1	na	4.9991093	
ADGRA2	na	4.997726	
ZNF366	na	4.997553	
AL590999.1	na	4.9972267	
AC067817.2	na	4.9967036	
RGS5	na	4.9963665	
USHBP1	na	4.9958835	
MPP7	na	4.9955106	
HRC	na	4.9949784	
FOXS1	na	4.9943266	
AC005884.1	na	4.9933324	
RAB40AL	na	4.9928184	
AC097505.1	na	4.991815	
AP000553.3	na	4.98984	
HYAL1	na	4.988196	
CCM2L	na	4.987466	
C16orf78	na	4.986527	
AL450332.1	na	4.985181	
TRGC2	na	4.9851723	
ACE2	na	4.983513	
AC107918.6	na	4.980213	
CNGA1	na	4.9799347	
ABCB1	na	4.97889	
AL358075.1	na	4.9783797	
CAVIN2	na	4.977156	
LAMC3	na	4.97679	
SAMD12-AS1	na	4.974764	
