NAME	TITLE	SCORE	
LINC02783	na	5.0	
AL596330.2	na	5.0	
TRIM54	na	5.0	
AC073321.1	na	5.0	
AC091946.1	na	5.0	
RHAG	na	5.0	
AP006248.4	na	5.0	
AL499602.1	na	5.0	
AL355607.2	na	5.0	
MRGPRX3	na	5.0	
KRT75	na	5.0	
AC089983.1	na	5.0	
AC068492.1	na	5.0	
AC074132.1	na	5.0	
LINC02392	na	5.0	
HOXB9	na	5.0	
AL356414.1	na	5.0	
ITIH1	na	4.901884	
ENTHD1	na	4.8662577	
NPPB	na	4.8585014	
AC104316.2	na	4.7739935	
LINC02733	na	4.6982107	
PRTN3	na	4.688805	
KISS1R	na	4.6145134	
EDN2	na	4.554793	
KRT16	na	4.4948897	
AC127540.2	na	4.474361	
TWIST2	na	4.378829	
IRGM	na	4.3377457	
IL36B	na	4.335177	
AL731533.2	na	4.3323545	
SDR16C5	na	4.318705	
LINC02154	na	4.3108115	
AC004895.1	na	4.2864423	
AP001783.1	na	4.281471	
FAM180A	na	4.27951	
PITRM1-AS1	na	4.260646	
MPP4	na	4.1981125	
C5orf46	na	4.1920886	
CHRDL2	na	4.170691	
IL11	na	4.1487727	
KCNE2	na	4.097406	
CAV3	na	4.0655885	
SOST	na	4.0648518	
GAU1	na	4.059113	
LINC01564	na	4.023296	
SH2D5	na	3.974388	
AC112721.1	na	3.9601922	
AC021097.2	na	3.9582307	
AP003120.1	na	3.9444969	
AC007292.2	na	3.9408417	
AL021578.1	na	3.9133692	
P3H2	na	3.8949358	
NOG	na	3.8924663	
BARX1	na	3.8833508	
AC005487.1	na	3.881053	
AL031847.1	na	3.860579	
ITPR1-DT	na	3.8316607	
ITGBL1	na	3.8310697	
STC2	na	3.8060994	
PDYN	na	3.7561662	
NXPH4	na	3.7212603	
AC009955.4	na	3.705707	
KCNK15	na	3.6946456	
LRRC8E	na	3.6934981	
B3GNT4	na	3.6851475	
AC114803.1	na	3.6484675	
ELDR	na	3.6143842	
LINC00298	na	3.5948193	
SPINK1	na	3.5947762	
OPRK1	na	3.5701373	
S100A7	na	3.562142	
AL021392.1	na	3.5611901	
HNF1A	na	3.5275576	
GPRC5A	na	3.522772	
BICDL2	na	3.4902375	
AKR1B10	na	3.4802973	
AC105020.1	na	3.477198	
